hosts,refFamilyCount,company,country,parent_id
dwxjayoxbnyrr.cloudfront.net,219,Amazon Web Services,US,Amazon
engine.fyber.com,219,unknown,NA,NA
admin.appnext.com,218,Appnext,UK,
cdn.unityads.unity3d.com,217,unknown,NA,NA
www.appnext.com,216,Appnext,UK,
appnext.hs.llnwd.net,212,unknown,NA,NA
inmobisdk-a.akamaihd.net,207,Akamai,US,NA
track.appsflyer.com,207,Appsflyer,US,
video.fyber.com,205,unknown,NA,NA
www.inmobi.com,202,Inmobi,SG,
config.inmobi.com,200,Inmobi,SG,
x.heyzap.com,197,unknown,NA,NA
alog.umengcloud.com,195,unknown,NA,NA
ads.flurry.com,194,Flurry,US,Yahoo
cmnsguider.yunos.com,190,unknown,NA,NA
global.appnext.com,190,Appnext,UK,
onesignal.com,186,unknown,NA,NA
adlog.flurry.com,182,Flurry,US,Yahoo
ua.supersonicads.com,180,Ironsource,US,
p.adsymptotic.com,179,Drawbridge,US,NA
p.univide.com,179,unknown,NA,NA
events.appsflyer.com,177,Appsflyer,US,
analytics.mopub.com,176,Mopub,US,Twitter
androidads21.adcolony.com,176,Adcolony,US,Opera
banner.fyber.com,175,unknown,NA,NA
d.appsdt.com,173,unknown,NA,NA
oc.umeng.com,173,unknown,NA,NA
support.twitter.com,173,Twitter,US,NA
uop.umeng.com,170,unknown,NA,NA
graph.%s,169,unknown,NA,NA
stats.appsflyer.com,168,Appsflyer,US,
api.appnxt.net,167,unknown,NA,NA
a.ai.inmobi.com,166,Inmobi,SG,
www.avocarrot.com,165,unknown,NA,NA
ads.avocarrot.com,164,unknown,NA,NA
e-ltvp.inmobi.com,164,Inmobi,SG,
z.moatads.com,164,Moat,US,NA
interstitial.fyber.com,163,unknown,NA,NA
rules-ltvp.inmobi.com,162,Inmobi,SG,
sdk-services.appsflyer.com,162,Appsflyer,US,
graph-video.%s,159,unknown,NA,NA
sdklogs.avocarrot.com,158,unknown,NA,NA
t.appsflyer.com,158,Appsflyer,US,
api.fyber.com,156,unknown,NA,NA
service.fyber.com,156,unknown,NA,NA
cdn.flurry.com,154,Flurry,US,Yahoo
register.appsflyer.com,151,Appsflyer,US,
adc3-launch-server-staging.herokuapp.com,149,unknown,NA,NA
alog.umeng.co,149,unknown,NA,NA
offer.fyber.com,148,unknown,NA,NA
www.google.co.jp,147,Google,US,Alphabet
dev.twitter.com,146,Twitter,US,NA
sitestream.twitter.com,146,Twitter,US,NA
twitter4j.org,146,unknown,NA,NA
userstream.twitter.com,146,Twitter,US,NA
sdk.kidoz.net,145,unknown,NA,NA
sdktm.w.inmobi.com,144,Inmobi,SG,
d1byvlfiet2h9q.cloudfront.net,143,Amazon Web Services,US,Amazon
www.mopub.com,142,Mopub,US,Twitter
stream.twitter.com,141,Twitter,US,NA
www.apple.com,140,Apple,US,NA
ilyonanalytics.herokuapp.com,139,unknown,NA,NA
ilyoncp.herokuapp.com,139,unknown,NA,NA
www.startappexchange.com,138,unknown,NA,NA
api.pubnative.net,136,Pubnative,DE,
supersonic.ironbeast.io,135,Ironsource,US,
fb.me,130,unknown,NA,NA
flurry.cachefly.net,127,unknown,NA,NA
fyc.heyzap.com,127,unknown,NA,NA
revmob.com,127,Revmob,DE,
track.atom-data.io,127,unknown,NA,NA
android.revmob.com,126,Revmob,DE,
rri.appodeal.com,126,Appodeal,US,
stats.coronalabs.com,126,unknown,NA,NA
config-alpha.yvolver.com,125,unknown,NA,NA
config-dev.yvolver.com,125,unknown,NA,NA
config-prod.yvolver.com,125,unknown,NA,NA
config-staging.yvolver.com,125,unknown,NA,NA
config-swap.yvolver.com,125,unknown,NA,NA
ach.appodeal.com,124,Appodeal,US,
oc.umeng.co,123,unknown,NA,NA
api.mobula.sdk.duapps.com,122,unknown,NA,NA
rts.mobula.sdk.duapps.com,122,unknown,NA,NA
www.ilyondynamics.com,120,unknown,NA,NA
www.yvolver.com,117,unknown,NA,NA
adwatch.appodeal.com,115,Appodeal,US,
sdk.starbolt.io,114,unknown,NA,NA
www.fqtag.com,113,Forensiq,US,Impact Radius
ad6.%s.liverail.com,111,LiveRail,US,Facebook
ad6.liverail.com,111,LiveRail,US,Facebook
startup.mobile.yandex.net,110,Yandex,RU,NA
tech.yandex.com,110,unknown,NA,NA
www.dummy.com,110,unknown,NA,NA
init.startappexchange.com,108,unknown,NA,NA
www.firebase.com,108,unknown,NA,NA
certificate.mobile.yandex.net,106,Yandex,RU,NA
apps.samsung.com,105,Samsung,KR,NA
shop.nimpha.com.ua,101,unknown,NA,NA
