hosts,refCount,company,type,jurisdiction
mrp.rubiconproject.com,255,Rubicon,advertising,us
stage.adtag.ad-stir.com,255,Adstir,advertising,jp
app.qq.com,248,Tencent,advertising,china
cdn.optimizely.com,242,Optimizely,analytics,us
api2.playhaven.com,239,Playhaven,advertising,us
cr.m.ksmobile.com,232,Cheetahmobile,advertising,china
dl.cm.ksmobile.com,229,Cheetahmobile,advertising,china
dist.ad-stir.com,227,Adstir,advertising,jp
avr.smaato.net,223,Smaato,advertising,us
test.cr.m.ksmobile.com,223,Cheetahmobile,advertising,china
pingmid.qq.com,222,Tencent,advertising,china
rtb.ad-stir.com,222,Adstir,advertising,jp
tr.ad-stir.com,222,Adstir,advertising,jp
android.sdk.ad-stir.com,220,Adstir,advertising,jp
"https://pagead2.googlesyndication.com/pagead/gen_204""",217,Google-Ads,advertising,us
production.cdn.aerserv.com.s3.amazonaws.com,214,Aerserv,advertising,us
production.cdn.aerserv.com.s3.amazonaws.com,214,Amazon,app,us
api.screenname.aol.com,213,AOL,advertising,us
rcv.mobad.ijinshan.com,208,Cheetahmobile,advertising,china
api.oscar.aol.com,205,AOL,advertising,us
dsp.appnext.com,200,Appnext,advertising,uk
delivery.supersonicads.com,199,Ironsource,advertising,us
t.qq.com,199,Tencent,advertising,china
prod-a.applovin.com,197,Applovin,advertising,us
a.mologiq.net,196,Mologiq,advertising,
assoc-msdk-us.amazon-adsystem.com,196,Amazon-Ads,advertising,us
a.jumptap.com,194,Jumptap,advertising,
"https://pagead2.googlesyndication.com/pagead/gen_204?id=gmob-apps""",189,Google-Ads,advertising,us
www.jumptap.com,185,Jumptap,advertising,
debugtbs.qq.com,179,Tencent,advertising,china
content-cdn.swrve.com,171,Swrve,advertising,us
ws-na.amazon-adsystem.com,171,Amazon-Ads,advertising,us
ir-na.amazon-adsystem.com,168,Amazon-Ads,advertising,us
sdk.fiksu.com,167,Flksu,advertising,us
m.aol.com,166,AOL,advertising,us
dist.adp.ad-stir.com,165,Adstir,advertising,jp
ps-us.amazon-adsystem.com,159,Amazon-Ads,advertising,us
a.fiksu.com,158,Flksu,advertising,us
logx.optimizely.com,158,Optimizely,analytics,us
bugly.qq.com,157,Tencent,advertising,china
ap.tnkfactory.com,156,Tnkfactory,advertising,south korea
diffdev44.smartadserver.com,156,Smartadserver,advertising,france
api.mobile.maps.yandex.net,155,Yandex,analytics,ru
ads03.tapsense.com,153,Tapsense,advertising,us
www.tapsense.com,148,Tapsense,advertising,us
a.app.qq.com,146,Tencent,advertising,china
pspm.pingstart.com,146,Pingstart,advertising,us
api.tnkfactory.com,143,Tnkfactory,advertising,south korea
google-analytics.com,137,Google-Analytics,analytics,us
bp.adkmob.com,136,Cheetahmobile,advertising,china
fb.umeng.com,131,Umeng,analytics,china
www.qq.com,128,Tencent,advertising,china
at.umeng.com,127,Umeng,analytics,china
xg.qq.com,127,Tencent,advertising,china
dc.webtrends.com,126,Webtrends,advertising,us
connect.mail.ru,125,Mail.Ru,advertising,russia
mdc.html5.qq.com,125,Tencent,advertising,china
selfservice.nativex.com,125,Nativex,advertising,us
softfile.3g.qq.com,125,Tencent,advertising,china
be.sponsorpay.com,121,Fyber,advertising,us
"http://media.admob.com/mraid/v1/mraid_app_banner.js""",121,Admob,advertising,us
"http://media.admob.com/mraid/v1/mraid_app_expanded_banner.js""",121,Admob,advertising,us
"http://media.admob.com/mraid/v1/mraid_app_interstitial.js""",121,Admob,advertising,us
live.hyprmx.com,119,Hyprmx,advertising,us
www.sina.com,119,Sina,advertising,cn
ad4.liverail.com,118,Liverail,advertising,us
stage-ad.ad-stir.com,118,Adstir,advertising,jp
stage.tr.ad-stir.com,118,Adstir,advertising,jp
"https://app-measurement.com/a""",117,App-Measurement,analytics,
weixin.qq.com,117,Tencent,advertising,china
mw.app.qq.com,116,Tencent,advertising,china
crash.amplitude.com,115,Amplitude,analytics,us
gw.alicdn.com,115,Alibaba,advertising,china
gw.alicdn.com,115,Linkedin,app,us
vr.ad-stir.com,115,Adstir,advertising,jp
www.postrelease.com,115,Postrelease,advertising,
v.t.sina.com.cn,114,Sina,advertising,cn
cfg.imtt.qq.com,110,Tencent,advertising,china
log.tbs.qq.com,110,Tencent,advertising,china
ad.adlibr.com,109,Mocomplex,advertising,kr
g.alicdn.com,109,Alibaba,advertising,china
g.alicdn.com,109,Linkedin,app,us
da.adbrix.igaworks.com,105,Igaworks,advertising,south korea
wup.imtt.qq.com,105,Tencent,advertising,china
mqqad.html5.qq.com,103,Tencent,advertising,china
pms.mb.qq.com,103,Tencent,advertising,china
www.appboy.com,103,Appboy,advertising,us
stage-tr.ad-stir.com,102,Adstir,advertising,jp
stage02-ad.ad-stir.com,102,Adstir,advertising,jp
swrve.com,102,Swrve,advertising,us
api.taboola.com,96,Taboola,advertising,us
