leaf_parent,n.x,pctOfApps.x,company,n.y,pctOfApps.y,country
Vk,4258,0.4438070262844659,Vk,4258,0.4438070262844659,RU
Smart Ad Server,3959,0.4126425591968531,Smart Ad Server,3959,0.4126425591968531,US
Localytics,3944,0.41107912439312677,Localytics,3944,0.41107912439312677,UK
Adjust,3938,0.4104537504716362,Adjust,3938,0.4104537504716362,US
Salesforce,3858,0.40211543151842877,Salesforce,3581,0.37324400214294795,US
Salesforce,3858,0.40211543151842877,Krux Digital,277,0.028871429375480755,US
comScore,3441,0.35865194397483496,Scorecardresearch,3441,0.35865194397483496,US
comScore,3441,0.35865194397483496,Voicefive,677,0.07056302414151795,US
Automattic,3367,0.35093899894311803,Wordpress,2960,0.30851780126867523,US
Automattic,3367,0.35093899894311803,Gravatar,418,0.043567716530508865,US
Automattic,3367,0.35093899894311803,Automattic,7,7.296029084056509e-4,US
Pinterest,3272,0.3410372451861842,Pinterest,3272,0.3410372451861842,US
RNTS Media,3069,0.31987876084242034,Fyber,3069,0.31987876084242034,US
Netease,3038,0.31664766224805246,Netease,3038,0.31664766224805246,CN
Sohu,2824,0.2943426590482226,Sohu,2824,0.2943426590482226,CN
Drawbridge,2776,0.2893396676762981,Drawbridge,2776,0.2893396676762981,US
Branch,2192,0.22846993931788384,Branch,2192,0.22846993931788384,US
Daum,1994,0.2078325999086954,Daum,1994,0.2078325999086954,KR
Apteligent,1983,0.2066860810526294,Apteligent,1983,0.2066860810526294,US
Nexage,1772,0.18469376481354477,Nexage,1772,0.18469376481354477,US
Integral Ad Science,1456,0.15175740494837536,Integral Ad Science,1456,0.15175740494837536,US
I-Mobile,1450,0.15113203102688483,I-Mobile,1450,0.15113203102688483,JP
Quantcast,1174,0.12236483063831916,Quantcast,1174,0.12236483063831916,US
China InterActive,1125,0.11725761027947962,Ren Ren,1125,0.11725761027947962,CN
Truste,1094,0.11402651168511173,Truste,1094,0.11402651168511173,US
Brightcove,1087,0.11329690877670608,Brightcove,1087,0.11329690877670608,US
International Business Machines,1043,0.10871083335244197,Weather Underground,438,0.045652296268810726,US
International Business Machines,1043,0.10871083335244197,International Business Machines,355,0.03700129035485801,US
International Business Machines,1043,0.10871083335244197,The Weather Company,274,0.02855874241473548,US
Tune,1028,0.10714739854871559,Tune,1028,0.10714739854871559,US
Bugsnag,976,0.10172749122913075,Bugsnag,976,0.10172749122913075,US
Presage,954,0.0994344535169987,Presage,954,0.0994344535169987,US
